business_age_years,daily_upi_sales,utility_bill_score,supplier_repay_score,loan_to_revenue_ratio,biz_type_encoded,city_tier,purpose_encoded,monthly_upi,has_digital_payment,tenure_score,repaid_on_time
7.0,4565,3,3,1.329,0,1,1,118690,1,0.467,0
6.4,3238,4,2,0.782,9,3,5,84188,1,0.427,0
7.5,3326,2,3,1.373,6,2,5,86476,0,0.5,1
1.9,2461,3,3,2.465,4,1,4,63986,1,0.127,1
12.5,5644,2,4,0.366,1,2,5,146744,1,0.833,1
5.5,3332,3,3,2.201,3,3,2,86632,0,0.367,0
9.2,8686,1,3,1.224,9,1,5,225836,0,0.613,1
20.1,4044,2,1,2.151,10,1,0,105144,0,1.0,0
7.2,3744,4,1,2.288,2,2,1,97344,1,0.48,1
23.3,4531,4,2,1.523,10,2,0,117806,0,1.0,0
17.5,9328,4,3,1.665,6,1,1,242528,1,1.0,1
6.3,3168,4,3,3.093,2,3,4,82368,0,0.42,1
10.9,7197,2,2,1.825,9,1,0,187122,1,0.727,0
22.2,4782,1,3,0.829,7,1,3,124332,0,1.0,1
1.4,8094,2,3,0.642,10,1,5,210444,1,0.093,1
12.3,3279,2,1,0.224,10,2,2,85254,1,0.82,1
2.3,20139,4,3,0.602,0,1,1,523614,1,0.153,1
1.7,9581,4,2,1.74,4,2,5,249106,1,0.113,1
5.8,4518,2,3,1.107,6,1,0,117468,1,0.387,1
10.2,5611,3,3,2.341,1,2,1,145886,0,0.68,0
6.7,5281,3,3,3.049,10,2,0,137306,1,0.447,0
2.5,5994,4,2,0.884,0,1,0,155844,1,0.167,0
5.2,9632,3,4,1.73,5,2,4,250432,1,0.347,1
14.6,7398,3,4,2.253,11,3,5,192348,1,0.973,1
2.1,6945,4,3,0.797,6,2,4,180570,1,0.14,1
12.2,9841,4,4,0.708,4,1,1,255866,1,0.813,0
10.6,8716,3,1,1.912,5,1,2,226616,1,0.707,1
2.3,6562,3,1,2.54,4,1,1,170612,1,0.153,1
3.6,2384,2,4,0.587,6,1,2,61984,0,0.24,1
0.6,3703,3,2,2.998,0,2,1,96278,0,0.04,1
1.3,6457,4,3,1.187,4,2,2,167882,1,0.087,1
6.6,4695,1,4,1.313,8,3,3,122070,0,0.44,1
2.2,3622,4,3,0.598,5,1,3,94172,1,0.147,1
5.4,9565,3,3,1.742,0,2,2,248690,0,0.36,0
16.0,9954,4,4,0.499,2,2,5,258804,0,1.0,0
2.6,8332,1,4,1.468,3,2,0,216632,1,0.173,0
2.4,2438,4,2,3.213,8,2,3,63388,0,0.16,1
4.1,8812,2,3,0.488,11,2,3,229112,1,0.273,0
6.5,11053,4,4,0.841,4,1,3,287378,1,0.433,1
0.9,4533,3,2,1.684,11,1,4,117858,0,0.06,0
3.4,1549,4,4,1.054,1,3,3,40274,1,0.227,1
5.3,5822,3,2,0.859,3,1,0,151372,1,0.353,1
2.7,8959,4,3,1.86,8,1,0,232934,0,0.18,0
12.4,3277,3,4,2.431,2,2,5,85202,0,0.827,1
6.3,3310,3,4,3.464,7,2,3,86060,0,0.42,0
5.2,7402,4,2,1.324,3,2,0,192452,0,0.347,1
0.6,10505,3,2,1.587,5,2,0,273130,0,0.04,1
5.7,12597,4,1,1.323,9,1,3,327522,0,0.38,1
6.0,9107,1,4,1.83,7,1,0,236782,0,0.4,0
4.8,10070,1,3,0.348,1,2,1,261820,1,0.32,1
7.6,5076,3,4,2.817,7,2,1,131976,0,0.507,0
6.3,5524,4,3,1.46,7,2,4,143624,1,0.42,0
11.1,9313,3,2,1.79,0,1,5,242138,1,0.74,0
4.0,4715,1,4,1.605,9,1,5,122590,0,0.267,1
0.7,6271,4,4,2.658,4,2,3,163046,0,0.047,1
2.7,1563,4,2,2.346,9,2,0,40638,1,0.18,1
7.3,5990,3,3,2.07,2,2,4,155740,1,0.487,1
4.8,3727,3,4,2.728,7,2,2,96902,1,0.32,1
1.1,12218,4,3,1.364,6,1,1,317668,1,0.073,0
3.1,8787,4,4,1.897,4,2,0,228462,1,0.207,1
9.2,2258,2,1,2.554,2,3,4,58708,0,0.613,1
3.9,12874,4,2,0.331,2,2,3,334724,1,0.26,1
5.8,10033,4,4,1.661,7,1,0,260858,1,0.387,1
3.4,8939,4,4,1.268,0,1,5,232414,0,0.227,1
4.6,2418,2,4,1.461,10,2,1,62868,0,0.307,1
4.3,6579,4,3,2.199,7,1,0,171054,1,0.287,0
1.2,3849,3,4,0.624,10,2,5,100074,0,0.08,1
8.0,2823,3,4,3.33,9,2,1,73398,1,0.533,1
10.9,14201,3,2,1.174,4,1,4,369226,0,0.727,1
3.6,4145,4,4,1.423,0,2,3,107770,1,0.24,1
19.7,7138,3,3,2.335,5,1,0,185588,1,1.0,1
1.8,7057,4,3,2.362,4,1,4,183482,1,0.12,1
1.0,5404,2,3,2.739,3,2,0,140504,0,0.067,1
0.9,4967,4,4,1.208,10,2,4,129142,1,0.06,1
1.5,4655,3,3,3.258,6,2,0,121030,1,0.1,0
8.8,4837,4,4,2.605,1,2,1,125762,1,0.587,0
9.0,5555,3,3,1.572,7,2,5,144430,1,0.6,1
4.6,2917,3,2,1.36,5,2,0,75842,1,0.307,1
0.8,8773,1,4,1.349,11,1,2,228098,1,0.053,0
20.9,1919,3,4,2.154,3,2,0,49894,1,1.0,1
2.4,4648,1,2,2.41,0,2,5,120848,0,0.16,1
12.2,2030,3,4,1.412,1,1,2,52780,1,0.813,0
29.4,6736,4,4,0.826,9,2,1,175136,1,1.0,1
2.0,4384,3,4,0.304,5,2,1,113984,1,0.133,0
1.4,7594,4,2,1.181,5,3,2,197444,0,0.093,1
2.7,5108,2,3,2.147,8,2,1,132808,1,0.18,1
5.9,5025,2,2,1.439,8,2,1,130650,1,0.393,1
0.7,2924,3,4,1.87,2,2,2,76024,1,0.047,1
19.0,8353,4,3,1.58,2,2,2,217178,1,1.0,1
2.5,5076,3,4,0.473,2,1,3,131976,1,0.167,1
4.5,6578,2,4,1.571,6,2,4,171028,0,0.3,1
8.3,10255,3,4,1.625,9,2,2,266630,1,0.553,1
2.6,3896,2,2,3.303,7,2,5,101296,1,0.173,0
4.3,8466,3,3,1.969,6,1,3,220116,0,0.287,1
13.7,7275,4,2,1.168,7,2,2,189150,1,0.913,1
1.4,9497,4,3,0.583,2,1,2,246922,1,0.093,1
6.0,5468,3,4,0.817,2,3,3,142168,1,0.4,1
5.1,2843,3,3,1.325,2,2,3,73918,1,0.34,1
15.3,6636,3,3,2.286,5,3,5,172536,1,1.0,1
10.0,10583,4,2,1.575,3,2,0,275158,1,0.667,0
4.0,1426,4,4,1.192,7,1,1,37076,0,0.267,1
12.6,2691,3,4,2.192,10,2,4,69966,1,0.84,1
1.9,4034,2,4,1.834,7,1,5,104884,0,0.127,1
24.1,1860,3,4,2.276,8,2,2,48360,1,1.0,1
6.9,1975,4,3,1.046,4,1,0,51350,1,0.46,1
8.3,6137,1,3,0.549,9,2,3,159562,1,0.553,1
4.4,4035,2,3,0.496,4,2,4,104910,1,0.293,0
1.4,3546,3,4,1.325,4,2,4,92196,1,0.093,1
8.3,5187,4,2,1.568,3,1,0,134862,1,0.553,1
1.7,6013,3,4,1.918,8,1,4,156338,1,0.113,0
2.0,3422,3,3,1.987,1,2,5,88972,0,0.133,1
4.5,4737,4,4,1.428,4,2,3,123162,1,0.3,1
17.3,7135,2,3,0.607,2,1,5,185510,1,1.0,1
2.7,10579,4,4,1.575,7,1,4,275054,1,0.18,1
15.8,9950,4,2,1.675,7,2,1,258700,1,1.0,1
0.6,2179,3,4,3.335,5,3,5,56654,1,0.04,1
4.8,6522,1,3,2.555,2,3,0,169572,1,0.32,0
0.8,4124,1,2,3.104,5,3,3,107224,1,0.053,0
5.7,5868,3,1,2.84,8,1,5,152568,0,0.38,1
4.5,7286,4,2,1.391,11,2,0,189436,1,0.3,1
6.6,5401,2,4,2.493,0,2,5,140426,0,0.44,1
4.3,3484,3,2,1.148,3,1,4,90584,1,0.287,1
1.4,9652,4,1,0.763,7,2,3,250952,1,0.093,1
6.8,5258,4,3,1.667,10,2,1,136708,0,0.453,1
4.5,8226,2,3,0.896,8,2,1,213876,1,0.3,0
8.0,14620,3,1,1.14,5,2,3,380120,1,0.533,1
4.8,5214,2,4,3.197,3,2,3,135564,0,0.32,1
2.3,5671,3,3,0.976,0,2,0,147446,1,0.153,0
1.4,4259,4,4,2.63,2,2,0,110734,1,0.093,1
3.1,6605,4,2,0.5,3,2,4,171730,0,0.207,0
0.6,5792,4,3,1.703,4,2,3,150592,1,0.04,0
2.4,5813,1,3,1.692,8,2,4,151138,1,0.16,1
1.9,1963,2,3,1.087,7,2,2,51038,1,0.127,1
4.9,6202,4,4,1.161,2,2,0,161252,1,0.327,1
6.5,3208,4,1,0.935,1,2,5,83408,1,0.433,1
19.3,10350,3,4,0.844,8,2,3,269100,0,1.0,1
2.9,6120,3,2,1.264,9,1,2,159120,1,0.193,0
1.1,2371,3,3,1.912,5,2,0,61646,1,0.073,0
0.6,2726,3,4,1.345,1,2,4,70876,0,0.04,0
2.8,11397,2,3,1.462,4,2,2,296322,1,0.187,0
1.2,5658,3,4,0.996,7,2,5,147108,1,0.08,0
2.6,5941,4,4,1.717,8,1,0,154466,0,0.173,1
3.5,6908,4,4,1.713,0,2,3,179608,1,0.233,1
1.8,12007,4,4,1.388,1,2,0,312182,1,0.12,0
10.7,3497,3,3,0.467,3,3,4,90922,1,0.713,1
7.1,2872,4,4,1.033,6,1,1,74672,1,0.473,0
6.9,7792,4,2,2.139,4,2,2,202592,1,0.46,0
0.8,7212,1,4,1.179,4,2,5,187512,0,0.053,1
1.6,5033,4,4,2.278,9,3,4,130858,1,0.107,0
30.0,6061,4,2,2.75,0,1,4,157586,1,1.0,1
1.7,15092,3,2,0.925,11,2,1,392392,0,0.113,1
2.5,8543,4,3,1.951,10,1,5,222118,1,0.167,1
21.9,13650,4,3,1.221,0,1,3,354900,1,1.0,0
6.0,4898,4,4,2.409,11,2,1,127348,0,0.4,0
2.3,4800,4,4,2.618,10,2,1,124800,0,0.153,0
12.4,8655,4,3,1.279,1,2,5,225030,1,0.827,1
9.3,12508,4,4,0.773,7,2,4,325208,0,0.62,1
10.2,2518,4,1,2.118,8,2,2,65468,1,0.68,1
2.6,4464,3,3,3.39,2,2,1,116064,1,0.173,0
11.7,5990,4,4,2.755,1,1,1,155740,0,0.78,1
33.7,4065,4,4,2.599,9,2,1,105690,0,1.0,0
6.3,8358,1,3,1.994,6,2,4,217308,0,0.42,1
10.9,10149,4,4,1.642,1,1,4,263874,1,0.727,0
6.2,12337,4,4,1.351,4,1,1,320762,1,0.413,1
0.8,3475,4,4,1.237,7,3,4,90350,0,0.053,1
7.1,15139,3,2,1.101,4,1,4,393614,1,0.473,1
2.3,15309,4,4,1.089,5,2,3,398034,1,0.153,1
1.6,2795,4,3,3.017,5,2,2,72670,1,0.107,1
3.1,6574,1,1,1.334,10,2,2,170924,1,0.207,1
9.2,10212,4,3,1.632,0,2,4,265512,0,0.613,1
5.2,8941,4,3,1.812,2,2,0,232466,1,0.347,0
17.8,6079,3,2,0.949,3,1,0,158054,0,1.0,1
7.8,7509,3,4,2.22,1,1,2,195234,1,0.52,1
1.1,2403,4,3,0.68,3,3,3,62478,1,0.073,0
20.7,12280,4,4,1.357,10,2,5,319280,0,1.0,1
2.8,3646,3,4,3.108,6,1,3,94796,1,0.187,0
1.3,1843,4,4,2.044,11,3,0,47918,1,0.087,1
2.3,6046,4,1,1.841,6,1,0,157196,1,0.153,1
1.4,3714,3,4,1.292,10,1,0,96564,0,0.093,0
5.1,5099,2,3,3.269,2,2,0,132574,0,0.34,1
4.6,5284,4,4,0.473,11,1,5,137384,0,0.307,1
4.5,6005,4,3,2.259,9,1,4,156130,0,0.3,1
14.8,11052,4,4,1.321,9,1,2,287352,0,0.987,1
13.3,6209,4,3,2.684,6,1,5,161434,1,0.887,1
17.2,5222,4,4,2.4,1,2,2,135772,1,1.0,1
2.8,7612,4,1,2.19,8,2,1,197912,1,0.187,0
4.0,3388,3,3,0.266,4,3,3,88088,1,0.267,1
8.0,4261,4,3,2.73,4,3,0,110786,1,0.533,0
3.3,3504,4,3,1.503,4,1,3,91104,1,0.22,0
25.0,3402,4,2,0.284,5,3,0,88452,0,1.0,1
16.4,9939,4,4,1.677,0,2,5,258414,0,1.0,1
0.8,4398,4,4,1.895,4,2,4,114348,1,0.053,1
7.9,3835,4,4,2.06,4,2,0,99710,1,0.527,1
5.4,8755,4,2,1.904,3,2,1,227630,0,0.36,1
3.9,6935,4,4,2.403,5,1,4,180310,1,0.26,0
10.2,5451,4,2,2.25,5,2,2,141726,1,0.68,1
4.4,8330,4,3,0.22,6,2,1,216580,1,0.293,0
10.3,2295,4,1,1.322,0,3,1,59670,1,0.687,1
15.6,4256,4,1,2.874,11,3,5,110656,0,1.0,1
5.2,4085,2,3,1.999,11,2,0,106210,1,0.347,1
5.9,4167,3,1,2.36,2,1,0,108342,1,0.393,1
2.3,8237,4,4,1.08,1,2,3,214162,1,0.153,1
8.1,13897,1,4,1.199,6,2,2,361322,0,0.54,1
8.6,4300,2,2,2.76,5,2,5,111800,0,0.573,0
4.1,9033,2,4,1.845,0,1,5,234858,0,0.273,1
2.7,7545,2,4,2.209,6,2,3,196170,0,0.18,0
7.4,2015,3,3,1.39,6,2,0,52390,0,0.493,0
16.4,5115,3,3,1.369,2,2,5,132990,0,1.0,1
8.4,9220,4,3,1.808,0,2,4,239720,1,0.56,0
0.8,22905,2,4,0.728,6,1,4,595530,0,0.053,0
1.7,9768,3,4,0.751,7,1,1,253968,0,0.113,0
10.1,4467,3,4,1.037,6,2,2,116142,0,0.673,1
19.8,8456,4,3,1.214,5,2,0,219856,1,1.0,1
5.9,13291,3,3,1.254,4,2,3,345566,0,0.393,0
1.1,6343,4,3,2.628,10,2,5,164918,1,0.073,1
16.1,6942,2,1,0.629,7,2,4,180492,0,1.0,1
7.2,8168,1,2,1.755,5,1,3,212368,0,0.48,1
1.8,9794,3,4,1.702,0,1,4,254644,1,0.12,1
14.3,3834,4,3,0.574,1,2,5,99684,1,0.953,1
14.4,7473,1,3,1.24,0,2,0,194298,0,0.96,1
3.7,3643,4,3,2.397,10,2,3,94718,1,0.247,1
0.5,4874,2,2,0.41,6,2,4,126724,1,0.033,0
1.9,5461,4,2,2.301,2,3,5,141986,0,0.127,1
8.6,4959,2,2,2.46,0,1,4,128934,0,0.573,1
1.2,4651,1,3,2.817,6,1,2,120926,0,0.08,1
4.6,8852,1,4,0.874,1,1,2,230152,1,0.307,0
2.1,6892,4,2,1.896,11,2,2,179192,1,0.14,1
1.8,5997,3,4,0.711,2,3,4,155922,0,0.12,1
1.5,10352,4,2,1.61,2,1,2,269152,1,0.1,0
2.4,2848,4,4,0.995,10,3,4,74048,1,0.16,0
5.5,19697,3,3,0.655,2,2,5,512122,0,0.367,0
1.7,6080,3,1,1.332,0,1,4,158080,0,0.113,0
9.4,8668,1,4,1.923,1,1,3,225368,0,0.627,1
3.3,7936,2,4,1.394,5,2,4,206336,0,0.22,0
0.9,9109,4,4,1.248,10,1,1,236834,1,0.06,1
11.4,8570,3,4,1.315,11,1,0,222820,0,0.76,1
0.6,5590,1,3,0.417,0,2,5,145340,1,0.04,0
7.8,9022,4,4,1.847,6,1,4,234572,0,0.52,1
4.5,7101,4,4,0.394,5,1,3,184626,1,0.3,1
1.5,8086,4,4,1.224,9,2,5,210236,0,0.1,1
1.1,1856,3,3,0.323,7,2,1,48256,0,0.073,0
11.7,8951,3,4,1.378,3,2,0,232726,1,0.78,1
7.7,9935,4,3,1.53,5,1,1,258310,1,0.513,1
1.9,3170,3,3,2.787,0,2,3,82420,0,0.127,1
16.5,3253,4,4,0.482,11,3,3,84578,1,1.0,1
15.5,5385,3,2,2.321,6,2,0,140010,1,1.0,1
4.1,10034,4,3,1.661,1,2,2,260884,1,0.273,1
3.7,5018,2,4,2.252,0,1,4,130468,1,0.247,1
11.4,4753,1,4,1.311,0,1,3,123578,0,0.76,1
1.4,5593,4,4,0.787,11,1,1,145418,0,0.093,1
19.4,3891,4,4,1.285,10,2,4,101166,1,1.0,1
0.7,8621,4,3,0.951,10,2,0,224146,1,0.047,1
5.3,8962,4,4,1.361,5,1,1,233012,1,0.353,1
0.9,1450,3,3,3.057,6,3,2,37700,1,0.06,1
5.7,3746,2,1,3.239,9,1,1,97396,1,0.38,0
1.7,4287,4,4,0.28,6,1,1,111462,0,0.113,1
0.8,6005,4,2,0.372,8,1,0,156130,0,0.053,0
0.6,22237,1,4,0.75,9,1,1,578162,1,0.04,0
1.5,8109,2,1,2.055,0,2,3,210834,0,0.1,1
5.1,6023,4,3,1.4,11,2,1,156598,1,0.34,1
1.3,8421,4,3,1.544,6,1,1,218946,1,0.087,1
1.3,6124,3,2,1.012,1,2,3,159224,1,0.087,1
20.4,6646,1,3,1.781,6,2,5,172796,0,1.0,1
0.5,3194,4,4,3.089,1,2,2,83044,1,0.033,1
17.6,2351,4,4,1.12,0,3,1,61126,1,1.0,1
3.3,14144,4,2,1.178,6,1,4,367744,1,0.22,0
0.7,3267,4,4,2.714,11,2,0,84942,0,0.047,1
6.7,11721,3,3,1.422,6,2,0,304746,0,0.447,1
6.1,10157,2,2,1.641,2,1,2,264082,1,0.407,1
3.8,4950,1,1,1.34,4,1,2,128700,0,0.253,1
4.2,6285,4,1,2.652,7,1,1,163410,1,0.28,1
3.0,10151,3,3,1.451,11,2,2,263926,1,0.2,1
10.8,10371,4,1,1.607,8,2,0,269646,1,0.72,1
9.6,7653,3,4,0.653,11,2,2,198978,1,0.64,1
6.0,6492,4,2,1.617,5,1,0,168792,1,0.4,0
7.5,11898,1,4,1.401,1,1,3,309348,0,0.5,1
16.8,11095,1,2,0.751,2,1,1,288470,1,1.0,0
5.1,3482,3,3,3.14,2,3,2,90532,0,0.34,0
11.5,1410,2,4,0.591,4,2,5,36660,0,0.767,1
3.7,17323,2,1,0.962,6,2,1,450398,0,0.247,1
5.9,20420,4,3,0.816,5,1,3,530920,0,0.393,1
11.9,13136,4,4,1.269,4,2,3,341536,0,0.793,1
7.8,2727,2,3,3.459,8,2,3,70902,0,0.52,0
2.6,9177,3,3,0.232,10,1,1,238602,1,0.173,0
2.1,20124,3,4,0.828,11,1,5,523224,0,0.14,1
8.6,6691,3,1,2.456,9,1,2,173966,0,0.573,1
2.1,9584,3,4,0.25,6,1,0,249184,0,0.14,0
2.1,7736,3,1,0.569,11,3,2,201136,1,0.14,1
14.8,2129,4,4,1.801,9,2,5,55354,0,0.987,1
1.1,10204,4,2,1.633,2,1,4,265304,1,0.073,1
8.2,5227,3,4,1.543,10,1,4,135902,0,0.547,1
0.8,16019,3,3,0.285,7,2,2,416494,1,0.053,1
11.8,18149,4,3,0.918,6,1,3,471874,0,0.787,0
0.5,5765,3,2,0.971,1,2,2,149890,0,0.033,1
2.8,5257,4,4,0.545,0,3,4,136682,0,0.187,1
3.7,8277,4,2,1.079,7,2,3,215202,1,0.247,1
3.1,15864,3,4,1.051,5,1,2,412464,0,0.207,0
15.3,4109,3,4,3.342,2,3,0,106834,1,1.0,1
5.1,5826,4,4,0.515,9,2,4,151476,1,0.34,1
21.0,5832,3,3,1.383,1,2,1,151632,1,1.0,0
0.7,4635,4,4,0.662,10,1,5,120510,1,0.047,1
5.1,9306,4,4,1.791,0,1,3,241956,0,0.34,1
18.7,15213,1,3,1.096,7,1,3,395538,0,1.0,1
2.4,9362,3,1,0.235,5,1,5,243412,1,0.16,0
20.1,7782,4,3,0.244,4,2,1,202332,1,1.0,1
2.9,5441,2,2,0.466,8,2,0,141466,0,0.193,1
1.3,8753,4,1,1.904,3,2,3,227578,1,0.087,1
2.4,10897,4,3,1.529,4,2,5,283322,1,0.16,1
32.2,8246,1,3,2.021,5,2,3,214396,0,1.0,0
1.8,7161,3,3,1.843,1,2,2,186186,1,0.12,1
8.0,2988,4,3,3.191,10,2,5,77688,1,0.533,0
2.5,3446,4,4,3.444,5,2,5,89596,0,0.167,1
2.5,2745,3,4,1.664,7,2,0,71370,1,0.167,0
4.4,12102,3,3,1.377,3,1,2,314652,1,0.293,1
5.8,5728,1,3,1.885,6,2,3,148928,0,0.387,0
4.5,5342,3,4,1.516,9,2,5,138892,1,0.3,1
7.4,7579,3,2,2.199,3,2,4,197054,1,0.493,1
14.2,8667,3,4,1.923,5,2,1,225342,1,0.947,1
5.5,11003,3,3,0.521,0,1,3,286078,1,0.367,1
8.2,7478,3,3,0.802,5,1,0,194428,0,0.547,1
13.2,5513,2,3,0.242,0,2,0,143338,0,0.88,1
28.5,17077,1,3,0.976,2,1,4,444002,0,1.0,0
1.0,5004,4,4,2.971,1,3,1,130104,1,0.067,0
1.4,4227,1,1,1.964,9,2,0,109902,0,0.093,1
4.4,7380,3,4,1.762,3,2,3,191880,1,0.293,0
4.1,3653,4,3,2.217,3,2,0,94978,1,0.273,1
4.4,3795,3,3,1.414,9,2,5,98670,1,0.293,1
3.2,5812,3,4,1.898,7,1,4,151112,1,0.213,1
4.9,5569,3,2,0.293,1,1,2,144794,1,0.327,1
1.4,3409,4,3,0.89,10,1,3,88634,0,0.093,1
10.5,7557,3,3,1.866,5,2,3,196482,1,0.7,1
1.8,9759,3,4,1.708,1,3,0,253734,1,0.12,0
0.7,11842,4,1,1.32,2,3,4,307892,1,0.047,1
1.9,7471,4,4,1.861,6,1,4,194246,0,0.127,1
3.6,2920,3,3,1.358,3,3,1,75920,0,0.24,0
3.1,6336,4,4,2.567,6,1,3,164736,1,0.207,1
16.8,2817,4,3,1.609,6,3,1,73242,1,1.0,1
1.1,6367,3,4,1.649,7,1,1,165542,1,0.073,0
1.5,11019,4,3,1.513,7,1,4,286494,1,0.1,1
6.0,11917,3,3,0.722,8,1,0,309842,1,0.4,1
13.0,6030,4,3,1.487,9,1,3,156780,1,0.867,1
0.7,5198,3,4,1.488,7,2,1,135148,0,0.047,1
1.6,7278,3,1,1.282,5,2,5,189228,1,0.107,0
2.4,4911,4,1,2.274,8,2,1,127686,1,0.16,1
4.8,4523,4,4,1.651,10,2,4,117598,1,0.32,0
3.4,13321,1,4,1.251,9,2,4,346346,1,0.227,1
7.2,19619,4,2,0.85,0,1,1,510094,1,0.48,1
11.9,10680,4,4,1.561,3,1,4,277680,1,0.793,1
1.5,2994,4,4,2.449,4,2,3,77844,1,0.1,1
2.0,17759,3,3,0.938,8,2,5,461734,1,0.133,1
2.8,5144,3,4,0.434,10,2,3,133744,1,0.187,1
5.3,17289,4,4,0.964,1,1,3,449514,0,0.353,0
9.2,10970,2,4,0.368,3,2,5,285220,1,0.613,1
1.7,5458,4,4,2.07,1,2,4,141908,0,0.113,1
1.2,4183,4,4,0.231,8,2,5,108758,0,0.08,0
3.1,1086,1,4,1.443,2,3,2,28236,0,0.207,0
2.2,4016,1,2,0.88,1,3,0,104416,0,0.147,0
2.3,3015,4,4,2.642,5,2,0,78390,0,0.153,1
13.4,7059,2,3,2.361,3,1,4,183534,0,0.893,0
3.8,5616,4,3,0.576,2,3,2,146016,1,0.253,0
2.8,3028,3,2,2.642,3,2,3,78728,0,0.187,0
1.1,2090,2,4,0.367,3,2,0,54340,1,0.073,0
1.4,7787,4,2,2.14,9,3,0,202462,1,0.093,1
8.1,5577,3,4,2.588,6,2,3,145002,1,0.54,1
5.4,11610,3,2,1.436,6,1,1,301860,1,0.36,1
12.8,4651,4,4,2.265,6,2,0,120926,1,0.853,1
6.3,23088,4,4,0.722,1,2,2,600288,0,0.42,1
9.4,20791,4,3,0.802,3,1,2,540566,1,0.627,1
3.7,7921,4,4,2.104,7,1,5,205946,1,0.247,1
5.8,8688,3,4,1.918,5,1,4,225888,0,0.387,1
20.4,4095,1,4,0.554,1,2,4,106470,1,1.0,1
2.7,7247,4,3,0.331,9,1,3,188422,0,0.18,1
3.8,7548,3,4,2.031,3,2,0,196248,0,0.253,1
4.8,4763,4,4,0.868,2,2,3,123838,1,0.32,1
19.0,11432,4,4,1.091,7,2,1,297232,0,1.0,0
2.5,7108,4,2,1.73,5,2,1,184808,1,0.167,1
8.7,3412,4,3,2.374,2,2,4,88712,0,0.58,0
0.5,1934,4,4,3.051,1,2,2,50284,0,0.033,1
1.5,13646,4,4,1.221,5,1,0,354796,1,0.1,1
1.4,11415,4,3,1.113,1,1,5,296790,1,0.093,0
1.3,7383,4,2,0.506,8,2,3,191958,1,0.087,1
4.4,14951,3,4,1.115,6,1,0,388726,1,0.293,1
5.1,5548,3,4,0.997,5,1,2,144248,1,0.34,1
9.0,1775,2,3,0.3,11,2,0,46150,1,0.6,0
1.1,11315,4,2,1.234,4,1,5,294190,0,0.073,1
14.6,3442,4,3,2.76,10,2,0,89492,1,0.973,1
4.2,10614,2,2,1.57,11,1,2,275964,0,0.28,1
14.6,2894,4,3,0.944,6,2,4,75244,0,0.973,1
6.0,2074,3,3,2.523,8,3,3,53924,1,0.4,1
13.2,5364,3,3,2.511,2,1,1,139464,1,0.88,1
9.3,3650,3,2,1.215,0,2,0,94900,0,0.62,1
13.3,8708,3,2,1.914,2,3,0,226408,1,0.887,1
12.1,7888,4,4,1.018,6,1,4,205088,1,0.807,1
2.7,7913,3,3,2.106,6,2,3,205738,0,0.18,1
0.5,4415,4,3,1.027,2,2,1,114790,1,0.033,1
1.5,13609,3,2,1.225,4,1,1,353834,1,0.1,1
5.3,7598,3,2,2.194,0,1,1,197548,0,0.353,1
10.0,13621,3,4,1.224,11,1,1,354146,1,0.667,0
